School Name,STAR Location Code,Area,Begin,Min.,Instr.,Min.,Recess,Min.,Instr.,Min.,Lunch,Min.,Instr.,Min.,Recess,Min.,Instr.,Min.,Dismiss,Min.,After
Mackenzie Glen,401336,West,08:00,00:15,08:15,01:40,09:55,00:20,10:15,01:40,11:55,01:00,12:55,01:40,,00:00,,00:00,14:35,00:15,14:50
MacLeod's Landing,201243,Central,08:50,00:15,09:05,01:40,10:45,00:30,11:15,01:40,12:55,01:00,13:55,01:40,,00:00,,00:00,15:35,00:15,15:50
Maple Creek,401332,West,08:05,00:15,08:20,01:40,10:00,00:30,10:30,01:40,12:10,01:00,13:10,01:40,,00:00,,00:00,14:50,00:15,15:05
Maple Leaf,101145,North,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Markham Gateway,301429,East,08:05,00:15,08:20,01:40,10:00,00:30,10:30,01:40,12:10,01:00,13:10,01:40,,00:00,,00:00,14:50,00:15,15:05
Mazo de la Roche,101147,North,07:45,00:15,08:00,01:40,09:40,00:30,10:10,01:40,11:50,01:00,12:50,01:40,,00:00,,00:00,14:30,00:15,14:45
Meadowbrook,101149,North,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Michaëlle Jean,201244,Central,07:45,00:15,08:00,01:40,09:40,00:20,10:00,01:40,11:40,01:00,12:40,01:40,,00:00,,00:00,14:20,00:15,14:35
Michael Cranny,401326,West,08:00,00:15,08:15,01:40,09:55,00:20,10:15,01:40,11:55,01:00,12:55,01:40,,00:00,,00:00,14:35,00:15,14:50
Milliken Mills,301451,East,08:05,00:15,08:20,01:40,10:00,00:20,10:20,01:40,12:00,01:00,13:00,01:40,,00:00,,00:00,14:40,00:15,14:55
Milne Outdoor,301461,East,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Moraine Hills,201241,Central,08:15,00:15,08:30,01:40,10:10,00:20,10:30,01:40,12:10,01:00,13:10,01:40,,00:00,,00:00,14:50,00:15,15:05
Morning Glory,101153,North,07:55,00:15,08:10,01:40,09:50,00:30,10:20,01:40,12:00,01:00,13:00,01:40,,00:00,,00:00,14:40,00:15,14:55
Mount Albert,101157,North,08:00,00:15,08:15,01:40,09:55,00:30,10:25,01:40,12:05,01:00,13:05,01:40,,00:00,,00:00,14:45,00:15,15:00
Mount Joy,301467,East,08:00,00:15,08:15,01:40,09:55,00:30,10:25,01:40,12:05,01:00,13:05,01:40,,00:00,,00:00,14:45,00:15,15:00
Nellie McClung,401361,West,08:55,00:15,09:10,01:40,10:50,00:20,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Nobleton,201262,Central,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Nokiidaa,301475,East,07:50,00:15,08:05,01:40,09:45,00:30,10:15,01:40,11:55,01:00,12:55,01:40,,00:00,,00:00,14:35,00:15,14:50
Northern Lights,201235,Central,08:30,00:15,08:45,01:40,10:25,00:30,10:55,01:40,12:35,01:00,13:35,01:40,,00:00,,00:00,15:15,00:15,15:30
O.M. MacKillop,201355,Central,08:50,00:15,09:05,01:40,10:45,00:30,11:15,01:40,12:55,01:00,13:55,01:40,,00:00,,00:00,15:35,00:15,15:50
Oak Ridges,201268,Central,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
